,0
OverTime,0.8684347122817864
YearsAtCompany,0.6954321787117522
YearsInCurrentRole,0.6714269700608644
NumCompaniesWorked,0.4686426955050088
YearsSinceLastPromotion,0.4636639428353893
MaritalStatus,0.44922759578322463
YearsWithCurrManager,0.44023495282595454
JobLevel,0.4309289789304688
JobSatisfaction,0.4093349068261951
Department,0.38333218920149165
TotalWorkingYears,0.37846300371461244
EnvironmentSatisfaction,0.3627535037439187
JobInvolvement,0.3165385788163581
DistanceFromHome,0.2791758402807666
Age,0.2345550769250184
WorkLifeBalance,0.19956796793974527
StockOptionLevel,0.19612293300773445
Gender,0.1905440647283008
MonthlyIncome,0.18912514253990487
RelationshipSatisfaction,0.16198316769533086
TrainingTimesLastYear,0.1598466537391983
JobRole,0.1329641347889535
PercentSalaryHike,0.11963361290729635
EducationField,0.10047743140918056
DailyRate,0.08718347918720201
Education,0.07792104281066059
MonthlyRate,0.07716479252449628
PerformanceRating,0.03990888896546666
EmployeeNumber,0.020211903083377444
HourlyRate,0.014704593827434045
BusinessTravel,0.01370218583252425
EmployeeCount,0.0
StandardHours,0.0
Over18,0.0
